"budget_code_key","cost_code","cost_type","budget_code_description","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06","2026-07","2026-08","2026-09","2026-10","2026-11"
"1000.10-01-870.MAT","10-01-870","MAT","TROPICAL WORLD NURSERY-CONSTR.PROG PHOTOS-GROUND.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","750.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.10-01-871.MAT","10-01-871","MAT","TROPICAL WORLD NURSERY-CONSTR.PROG PHOTOS-AERIAL.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.15-01-426.MAT","15-01-426","MAT","TROPICAL WORLD NURSERY-CONSTR.SURVEY.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4060.00","3308.50","0.00","3747.50","4770.00","1787.50","0.00","1625.00","0.00","1445.00","0.00","2910.00","907.50","6435.00","0.00","-3217.50","4244.34","7833.35","4988.00","2644.77","2644.77","2644.77"
"1000.15-01-460.MAT","15-01-460","MAT","TROPICAL WORLD NURSERY-CONSTR.SAFETY EQUIPMENT.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","221.77","0.00","0.00","1174.52","0.00","0.00","258.78","0.00","403.22","0.00","0.00","0.00","0.00","0.00","297.24","0.00","0.00","108.57","238.70","135.53","50.57","50.57","50.58"
"1000.15-01-515.SUB","15-01-515","SUB","TROPICAL WORLD NURSERY-CONSTR.TEMPORARY FENCE & GATES.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4922.00","0.00","0.00","1063.00","2803.49","2568.00","5510.85","669.44","5619.26","6818.62","2706.29","468.60","3923.45","2017.46","2948.79","4384.49","6660.95","4678.61","3440.16","3440.16","3291.29"
"1000.15-01-530.LAB","15-01-530","LAB","TROPICAL WORLD NURSERY-CONSTR.TEMPORARY LABOR.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","480.00","0.00","4250.00","6700.00","4310.00","4426.50","6099.50","5026.50","6283.75","9487.75","8426.00","9519.00","8861.50","8830.00","8643.75","11614.50","8827.25","10074.69","8614.06","7792.91","6758.58","0.00"
"1000.15-01-530.LBN","15-01-530","LBN","TROPICAL WORLD NURSERY-CONSTR.TEMPORARY LABOR.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","125.91","0.00","1059.37","1650.11","1073.52","1103.90","1516.70","1249.11","1568.66","2359.41","2111.09","2455.73","2257.34","2204.95","2162.74","2899.34","2152.98","2457.25","2100.98","1900.71","1648.45","0.00"
"1000.15-01-530.MAT","15-01-530","MAT","TROPICAL WORLD NURSERY-CONSTR.TEMPORARY LABOR.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.15-01-530.SUB","15-01-530","SUB","TROPICAL WORLD NURSERY-CONSTR.TEMPORARY LABOR.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2210.88","0.00","297.58","297.58","297.58","297.58","297.60","0.00"
"1000.15-01-555.MAT","15-01-555","MAT","TROPICAL WORLD NURSERY-CONSTR.MOT.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.15-01-560.MAT","15-01-560","MAT","TROPICAL WORLD NURSERY-CONSTR.FLOOR PROTECTION.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.15-01-741.MAT","15-01-741","MAT","TROPICAL WORLD NURSERY-CONSTR.CONSTRUCTION CLEAN.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","350.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24880.00","0.00","822.65","0.00","1233.98","3084.95","28843.29","36054.18","28843.29","21632.53","14421.66","0.00"
"1000.15-01-743.MAT","15-01-743","MAT","TROPICAL WORLD NURSERY-CONSTR.SITE MAINTENANCE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","630.64","101.25","298.28","0.00","0.00","0.00","0.00","0.00","1100.00","508.25","0.00","21292.85","15565.65","9126.23","411.33","0.00","0.00","0.00","0.00","187.60","913.52","2161.78","1278.07","575.70","719.63","863.56"
"1000.15-01-744.LAB","15-01-744","LAB","TROPICAL WORLD NURSERY-CONSTR.TRASH REMOVAL.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","81.00","67.50","0.00","0.00","114.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","59.57","130.97","74.37","27.75","27.75","27.75"
"1000.15-01-744.LBN","15-01-744","LBN","TROPICAL WORLD NURSERY-CONSTR.TRASH REMOVAL.Labor Burden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.60","16.92","0.00","0.00","27.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.40","42.65","24.21","9.03","9.03","9.04"
"1000.15-01-744.MAT","15-01-744","MAT","TROPICAL WORLD NURSERY-CONSTR.TRASH REMOVAL.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","105.00","87.50","0.00","0.00","148.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","77.25","169.85","96.44","35.98","35.98","35.99"
"1000.15-01-745.MAT","15-01-745","MAT","TROPICAL WORLD NURSERY-CONSTR.DUMPSTERS.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","423.10","2516.30","3866.40","8560.20","23331.40","23360.30","-10301.70","15311.00","11566.80","10250.60","9700.30","7976.00","7648.70","11732.10","18313.20","0.00","11442.14","17382.97","12209.68","8977.73","8977.73","8589.25"
"1000.15-02-010.SUB","15-02-010","SUB","TROPICAL WORLD NURSERY-CONSTR.SITEWORK.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","367200.00","243852.00","473932.00","354460.00","220031.00","216769.00","60695.00","146154.00","10933.14","209195.22","171995.39","146189.13","124070.68","101889.91","26587.50","50183.20","161253.03","79156.86","0.00","193661.11","160735.54","0.00","0.00","0.00","0.00"
"1000.15-02-510.MAT","15-02-510","MAT","TROPICAL WORLD NURSERY-CONSTR.ELEC/H20 CONSUM-ALW.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","744.01","6103.76","2902.48","12283.84","4689.74","17603.80","5567.84","10301.89","8734.84","-798.76","2566.52","3852.00","6390.50","5769.00","1917.00","5751.00","3834.00","0.00","0.00","2057.78","3846.48","1805.01","1209.58","1209.58","1209.59"
"1000.15-02-805.SUB","15-02-805","SUB","TROPICAL WORLD NURSERY-CONSTR.IRRIGATION & LANDSCAPING.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","92749.50","0.00","24870.00","14400.00","0.00","0.00","0.00","2660.00","0.00","2660.68","296815.00","0.00","0.00","61250.00","0.00","0.00","156377.91","218929.07","156377.90","0.00","0.00","0.00"
"1000.15-02-808.SUB","15-02-808","SUB","TROPICAL WORLD NURSERY-CONSTR.BRICK PAVERS / TURF.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","31500.01","30614.57","0.00","0.00","117445.53","64405.53","0.00","0.00","0.00","0.00"
"1000.15-03-010.SUB","15-03-010","SUB","TROPICAL WORLD NURSERY-CONSTR.CONCRETE WORK.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","797868.90","1963650.00","2974158.42","2553800.00","923940.00","867435.95","0.00","0.00","3100.00","0.00","0.00","103617.72","0.00","0.00","88506.81","0.00","0.00","0.00","0.00","0.00"
"1000.15-04-400.SUB","15-04-400","SUB","TROPICAL WORLD NURSERY-CONSTR.STONE VENEER.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49333.58","0.00","94601.42","0.00","39242.45","0.00","0.00","0.00","0.00","0.00"
"1000.15-05-522.SUB","15-05-522","SUB","TROPICAL WORLD NURSERY-CONSTR.PERGOLA/TRELLIS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56904.00","0.00","0.00","0.00","0.00","27300.00","0.00","0.00","0.00","5745.00","0.00","7365.00","0.00","0.00","0.00","40350.00","19825.00","0.00","235293.00","0.00","0.00","0.00","0.00","0.00"
"1000.15-05-910.SUB","15-05-910","SUB","TROPICAL WORLD NURSERY-CONSTR.MISCELLANEOUS METALS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","177096.00","0.00","0.00","0.00","0.00","27300.00","10916.00","0.00","19261.00","40562.00","0.00","29135.00","24027.00","0.00","24027.00","38437.00","21454.00","0.00","33185.83","18309.39","0.00","0.00","0.00","0.00"
"1000.15-06-100.MAT","15-06-100","MAT","TROPICAL WORLD NURSERY-CONSTR.ROUGH CARPENTRY.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5022.25","2012.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","708.75","1163.86","642.36","333.85","285.68","237.50"
"1000.15-06-190.SUB","15-06-190","SUB","TROPICAL WORLD NURSERY-CONSTR.WOOD TRUSSES.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","47874.79","47559.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.15-06-200.SUB","15-06-200","SUB","TROPICAL WORLD NURSERY-CONSTR.FINISH CARPENTRY.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","55247.07","69570.33","55247.07","40923.81","0.00","0.00"
"1000.15-06-220.SUB","15-06-220","SUB","TROPICAL WORLD NURSERY-CONSTR.MILLWORK.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","156550.00","0.00","103200.00","83500.00","0.00","343250.00","123000.00","43800.00","-43800.00","229687.50","125957.50","0.00","0.00","0.00","0.00"
"1000.15-06-270.SUB","15-06-270","SUB","TROPICAL WORLD NURSERY-CONSTR.CLOSET & WOOD SHELVE.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","88945.33","0.00","0.00","0.00","0.00","0.00","0.00","88945.33","0.00","0.00","18310.90","23804.21","16479.80","0.00","0.00","0.00"
"1000.15-06-411.SUB","15-06-411","SUB","TROPICAL WORLD NURSERY-CONSTR.AMENITY COUNTERTOPS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.15-06-414.SUB","15-06-414","SUB","TROPICAL WORLD NURSERY-CONSTR.UNIT COUNTERTOPS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1000.15-07-105.SUB","15-07-105","SUB","TROPICAL WORLD NURSERY-CONSTR.WATERPROOFING.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3600.00","5400.00","0.00","0.00","2800.00","11900.00","37800.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29924.35","0.00","0.00","0.00","0.00","0.00"
"1000.15-07-200.SUB","15-07-200","SUB","TROPICAL WORLD NURSERY-CONSTR.THERMAL PROTECTION.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","221774.50","157459.50","164461.75","118446.50","147739.15","24422.60","0.00","0.00","27188.14","0.00","0.00","0.00","0.00","0.00"
"1000.15-07-590.SUB","15-07-590","SUB","TROPICAL WORLD NURSERY-CONSTR.ROOFING.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","725.00","0.00","0.00","0.00","0.00","0.00","0.00","51992.87","492488.24","410624.64","142642.92","0.00","35434.28","83388.80","168291.91","0.00","201439.42","111138.85","0.00","0.00","0.00","0.00"
"1000.15-07-840.SUB","15-07-840","SUB","TROPICAL WORLD NURSERY-CONSTR.FIRESTOPPING.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89600.00","0.00","0.00","5528.57","8374.48","2723.91","2723.91","2723.91","2723.93"
"1000.15-08-250.SUB","15-08-250","SUB","TROPICAL WORLD NURSERY-CONSTR.DOORS, FRAMES & HW.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17630.60","28000.00","0.00","133195.00","0.00","0.00","0.00","33864.00","0.00","256853.82","359595.35","256853.83","0.00","0.00","0.00"
"1000.15-08-450.SUB","15-08-450","SUB","TROPICAL WORLD NURSERY-CONSTR.GLASS WINDOWS & DOORS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","487313.83","0.00","0.00","0.00","0.00","315482.43","434930.86","537703.45","199116.83","21669.97","37846.52","53347.41","0.00","1532.29","0.00","339821.21","187487.34","0.00","0.00","0.00","0.00"
"1000.15-08-830.SUB","15-08-830","SUB","TROPICAL WORLD NURSERY-CONSTR.MIRRORS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","47282.17","0.00","0.00","0.00","0.00","0.00","26540.00","0.00","0.00","0.00","10614.48","13798.85","9553.04","0.00","0.00","0.00"
"1000.15-09-180.SUB","15-09-180","SUB","TROPICAL WORLD NURSERY-CONSTR.STUCCO.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","90000.00","115000.00","30500.00","272500.00","238872.64","39500.00","0.00","431249.51","0.00","0.00","0.00","0.00","0.00"
"1000.15-09-250.SUB","15-09-250","SUB","TROPICAL WORLD NURSERY-CONSTR.GYPSUM BOARD & INSUL.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","125000.00","320000.00","470000.00","419000.00","650000.00","123435.28","430000.00","70000.00","162500.00","359149.63","190000.00","0.00","216466.12","281405.96","194819.52","0.00","0.00","0.00"
"1000.15-09-600.SUB","15-09-600","SUB","TROPICAL WORLD NURSERY-CONSTR.FLOORING.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12000.00","277784.60","173397.99","80157.89","66658.58","0.00","122132.40","57489.62","23512.75","72087.36","20647.17","0.00","771020.24","1079428.33","771020.24","0.00","0.00","0.00"
"1000.15-09-910.SUB","15-09-910","SUB","TROPICAL WORLD NURSERY-CONSTR.PAINTING.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","77121.00","58606.00","110348.00","168060.00","0.00","152457.35","213440.29","152457.36","0.00","0.00","0.00"
"1000.15-10-185.SUB","15-10-185","SUB","TROPICAL WORLD NURSERY-CONSTR.SHOWER ENCLOSURES.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","96875.04","53124.96","0.00","0.00","0.00","0.00"
"1000.15-10-205.SUB","15-10-205","SUB","TROPICAL WORLD NURSERY-CONSTR.SPECIALTIES.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","51403.19","28188.81","0.00","0.00","0.00","0.00"
"1000.15-10-310.SUB","15-10-310","SUB","TROPICAL WORLD NURSERY-CONSTR.FIREPLACE.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6845.54","3776.84","0.00","0.00","0.00","0.00"
"1000.15-10-312.SUB","15-10-312","SUB","TROPICAL WORLD NURSERY-CONSTR.FIRE EXTINGUISHERS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1266.27","7949.36","4291.25","0.00","0.00","0.00"
"1000.15-10-440.SUB","15-10-440","SUB","TROPICAL WORLD NURSERY-CONSTR.SIGNAGE.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","65.64","85.33","59.07","0.00","0.00","0.00"
"1000.15-10-550.SUB","15-10-550","SUB","TROPICAL WORLD NURSERY-CONSTR.POSTAL SPECIALTIES.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5006.51","45058.59","0.00","0.00","0.00","0.00"
"1000.15-11-400.SUB","15-11-400","SUB","TROPICAL WORLD NURSERY-CONSTR.FOOD SERVICE EQUIPEMENT.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","123788.84","0.00","0.00","44359.98","0.00","0.00","0.00","0.00","0.00","29915.75","269241.73","0.00","0.00","0.00","0.00"
"1000.15-11-450.SUB","15-11-450","SUB","TROPICAL WORLD NURSERY-CONSTR.APPLIANCES.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","309589.50","433425.30","309589.50","0.00","0.00","0.00"
"1000.15-12-300.SUB","15-12-300","SUB","TROPICAL WORLD NURSERY-CONSTR.RESIDENTIAL CASEWORK.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","268335.09","0.00","0.00","165867.44","277363.24","233166.80","0.00","82935.69","0.00","0.00","8796.71","0.00","107843.21","140196.18","97058.89","0.00","0.00","0.00"
"1000.15-12-490.SUB","15-12-490","SUB","TROPICAL WORLD NURSERY-CONSTR.WINDOW TREATMENT.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","69250.00","0.00","0.00","17856.59","24999.22","17856.59","0.00","0.00","0.00"
"1000.15-12-540.SUB","15-12-540","SUB","TROPICAL WORLD NURSERY-CONSTR.SITE FURNITURE.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23490.85","0.00","0.00","0.00","29598.86","16330.39","0.00","0.00","0.00","0.00"
"1000.15-13-150.SUB","15-13-150","SUB","TROPICAL WORLD NURSERY-CONSTR.SWIMMING POOLS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8000.00","0.00","0.00","30000.00","82155.93","0.00","84800.00","42400.00","10600.00","0.00","0.00","0.00","63600.00","0.00","53000.00","0.00","34673.38","19130.12","0.00","0.00","0.00","0.00"
"1000.15-14-110.SUB","15-14-110","SUB","TROPICAL WORLD NURSERY-CONSTR.TRASH CHUTES.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23267.25","984.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3948.37","4191.01","4433.64","3595.44","2757.24","1919.05"
"1000.15-14-200.SUB","15-14-200","SUB","TROPICAL WORLD NURSERY-CONSTR.ELEVATORS.Subcontractor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","257426.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11900.00","0.00","0.00","0.00","0.00","0.00","189858.45","0.00","145554.03","189220.24","130998.62","0.00","0.00","0.00"
