crosswalk_id,project_key,mapping_version,owner_sov_code,owner_cost_code_family,owner_scope_description,owner_description_match_rule,scope_relationship,coverage_type,comparison_level,allocation_required,allocation_method,allocation_percent_by_budget_code,covered_budget_code_key_patterns,covered_budget_code_keys,covered_budget_code_exclusion_patterns,covered_budget_code_exclusions,covered_procore_wbs_flat_code_patterns,covered_procore_wbs_flat_codes,covered_procore_wbs_flat_code_exclusion_patterns,covered_procore_wbs_flat_code_exclusions,covered_procore_or_budget_code_values,comparison_basis,confidence,approved_by,approved_date,notes
TROPICAL-OWNER-SOV-0041,tropical,2026-06-v1,15-12-490,15-12,Owner SOV code 15-12-490 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-12-490,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-12-490.SUB"": ""100.00""}",[],"[""1000.15-12-490.SUB""]",[],,[],"[""1000.15-12-490.SUB""]",[],,"[""1000.15-12-490.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-12-490.*; grouped under owner SOV code 15-12-490.
TROPICAL-OWNER-SOV-0042,tropical,2026-06-v1,15-12-540,15-12,Owner SOV code 15-12-540 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-12-540,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-12-540.SUB"": ""100.00""}",[],"[""1000.15-12-540.SUB""]",[],,[],[],[],,"[""1000.15-12-540.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-12-540.*; grouped under owner SOV code 15-12-540.
TROPICAL-OWNER-SOV-0043,tropical,2026-06-v1,15-13-150,15-13,Owner SOV code 15-13-150 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-13-150,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-13-150.SUB"": ""100.00""}",[],"[""1000.15-13-150.SUB""]",[],,[],"[""1000.15-13-150.SUB""]",[],,"[""1000.15-13-150.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-13-150.*; grouped under owner SOV code 15-13-150.
TROPICAL-OWNER-SOV-0044,tropical,2026-06-v1,15-14-110,15-14,Owner SOV code 15-14-110 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-14-110,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-14-110.SUB"": ""100.00""}",[],"[""1000.15-14-110.SUB""]",[],,[],"[""1000.15-14-110.SUB""]",[],,"[""1000.15-14-110.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-14-110.*; grouped under owner SOV code 15-14-110.
TROPICAL-OWNER-SOV-0045,tropical,2026-06-v1,15-14-200,15-14,Owner SOV code 15-14-200 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-14-200,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-14-200.SUB"": ""100.00""}",[],"[""1000.15-14-200.SUB""]",[],,[],"[""1000.15-14-200.SUB""]",[],,"[""1000.15-14-200.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-14-200.*; grouped under owner SOV code 15-14-200.
TROPICAL-OWNER-SOV-0046,tropical,2026-06-v1,15-15-310,15-15,Owner SOV code 15-15-310 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-15-310,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-15-310.SUB"": ""100.00""}",[],"[""1000.15-15-310.SUB""]",[],,[],"[""1000.15-15-310.SUB""]",[],,"[""1000.15-15-310.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-15-310.*; grouped under owner SOV code 15-15-310.
TROPICAL-OWNER-SOV-0047,tropical,2026-06-v1,15-15-410,15-15,Owner SOV code 15-15-410 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-15-410,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-15-410.SUB"": ""100.00""}",[],"[""1000.15-15-410.SUB""]",[],,[],"[""1000.15-15-410.SUB""]",[],,"[""1000.15-15-410.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-15-410.*; grouped under owner SOV code 15-15-410.
TROPICAL-OWNER-SOV-0048,tropical,2026-06-v1,15-15-700,15-15,Owner SOV code 15-15-700 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-15-700,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-15-700.SUB"": ""100.00""}",[],"[""1000.15-15-700.SUB""]",[],,[],"[""1000.15-15-700.SUB""]",[],,"[""1000.15-15-700.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-15-700.*; grouped under owner SOV code 15-15-700.
TROPICAL-OWNER-SOV-0049,tropical,2026-06-v1,15-16-110,15-16,Owner SOV code 15-16-110 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-16-110,any,one_to_many,same_cost_code_multi_category,cost_code_rollup,False,not_allocated_compare_at_rollup,,[],"[""1000.15-16-110.MAT"", ""1000.15-16-110.SUB""]",[],,[],"[""1000.15-16-110.SUB""]",[],,"[""1000.15-16-110.MAT"", ""1000.15-16-110.SUB""]",owner_scope_rollup_sell_value_vs_cost_caution,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-16-110.*; grouped under owner SOV code 15-16-110.
TROPICAL-OWNER-SOV-0050,tropical,2026-06-v1,15-16-111,15-16,Owner SOV code 15-16-111 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-16-111,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-16-111.SUB"": ""100.00""}",[],"[""1000.15-16-111.SUB""]",[],,[],"[""1000.15-16-111.SUB""]",[],,"[""1000.15-16-111.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-16-111.*; grouped under owner SOV code 15-16-111.
TROPICAL-OWNER-SOV-0051,tropical,2026-06-v1,15-16-112,15-16,Owner SOV code 15-16-112 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-16-112,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-16-112.SUB"": ""100.00""}",[],"[""1000.15-16-112.SUB""]",[],,[],"[""1000.15-16-112.SUB""]",[],,"[""1000.15-16-112.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-16-112.*; grouped under owner SOV code 15-16-112.
TROPICAL-OWNER-SOV-0052,tropical,2026-06-v1,15-16-400,15-16,Owner SOV code 15-16-400 maps to matching BudgetDetails/Procore code values where the middle cost code equals 15-16-400,any,one_to_one,direct,budget_code,False,direct,"{""1000.15-16-400.SUB"": ""100.00""}",[],"[""1000.15-16-400.SUB""]",[],,[],"[""1000.15-16-400.SUB""]",[],,"[""1000.15-16-400.SUB""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.15-16-400.*; grouped under owner SOV code 15-16-400.
TROPICAL-OWNER-SOV-0056,tropical,2026-06-v1,20-18-105,20-18,Owner SOV code 20-18-105 maps to BudgetDetails/Procore code 1000.20-18-170.MAT,any,one_to_one,direct,budget_code,False,direct,"{""1000.20-18-170.MAT"": ""100.00""}",[],"[""1000.20-18-170.MAT""]",[],,[],[],[],,"[""1000.20-18-170.MAT""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed owner SOV code 20-18-105 maps directly to 1000.20-18-170.MAT. This replaces the prior same-code placeholder mapping to owner SOV 20-18-170 and avoids duplicate coverage.
TROPICAL-OWNER-SOV-0053,tropical,2026-06-v1,20-18-107,20-18,Owner SOV code 20-18-107 maps to matching BudgetDetails/Procore code values where the middle cost code equals 20-18-107,any,one_to_one,direct,budget_code,False,direct,"{""1000.20-18-107.MAT"": ""100.00""}",[],"[""1000.20-18-107.MAT""]",[],,[],"[""1000.20-18-107.MAT""]",[],,"[""1000.20-18-107.MAT""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.20-18-107.*; grouped under owner SOV code 20-18-107.
TROPICAL-OWNER-SOV-0054,tropical,2026-06-v1,20-18-110,20-18,Owner SOV code 20-18-110 maps to matching BudgetDetails/Procore code values where the middle cost code equals 20-18-110,any,one_to_one,direct,budget_code,False,direct,"{""1000.20-18-110.OVH"": ""100.00""}",[],"[""1000.20-18-110.OVH""]",[],,[],[],[],,"[""1000.20-18-110.OVH""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.20-18-110.*; grouped under owner SOV code 20-18-110.
TROPICAL-OWNER-SOV-0055,tropical,2026-06-v1,20-18-141,20-18,Owner SOV code 20-18-141 maps to matching BudgetDetails/Procore code values where the middle cost code equals 20-18-141,any,one_to_one,direct,budget_code,False,direct,"{""1000.20-18-141.MAT"": ""100.00""}",[],"[""1000.20-18-141.MAT""]",[],,[],[],[],,"[""1000.20-18-141.MAT""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.20-18-141.*; grouped under owner SOV code 20-18-141.
TROPICAL-OWNER-SOV-0057,tropical,2026-06-v1,20-18-250,20-18,Owner SOV code 20-18-250 maps to matching BudgetDetails/Procore code values where the middle cost code equals 20-18-250,any,one_to_one,direct,budget_code,False,direct,"{""1000.20-18-250.MAT"": ""100.00""}",[],"[""1000.20-18-250.MAT""]",[],,[],[],[],,"[""1000.20-18-250.MAT""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,User confirmed clear match by syntax: 1000.20-18-250.*; grouped under owner SOV code 20-18-250.
TROPICAL-OWNER-SOV-0058,tropical,2026-06-v1,99-01-790,99-01,Owner SOV code 99-01-790 direct mapping,any,one_to_one,direct,budget_code,False,direct,"{""1000.90-01-300.MAT"": ""100.00""}",[],"[""1000.90-01-300.MAT""]",[],,[],[],[],,"[""1000.90-01-300.MAT""]",direct_scope,authoritative_user_provided,Bobby Fetting,2026-06-14,Owner code 99-01-790 maps directly to 1000.90-01-300.MAT.
